health_region,type_of_expenditure,activity,contents,year,value,type_of_service,occupation
Totalt,Other expenditures,Sum all functions,Current prices (NOK million),2020,1729,NA,NA
Totalt,Other expenditures,Sum all functions,Current prices (NOK million),2021,2018,NA,NA
Totalt,Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Totalt,Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Totalt,Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Totalt,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,265,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,446,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,504,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Totalt,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,1211,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,1669,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,1700,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Other expenditures,Sum all functions,Current prices (NOK million),2005,308,NA,NA
General hospitals,Other expenditures,Sum all functions,Current prices (NOK million),2020,478,NA,NA
General hospitals,Other expenditures,Sum all functions,Current prices (NOK million),2021,576,NA,NA
General hospitals,Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
General hospitals,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,5434,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,12542,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,13782,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,2.9,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,9.9,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,16,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,561,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,593,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,43.6,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,5.6,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,1533,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,1751,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,3.3,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,14.2,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,24,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,27,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,36,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,4.6,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,31.7,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,0,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,-1,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,-1,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,-13.9,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,111.1,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,20,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,19,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,-3.1,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,-5.8,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Current prices (NOK million),2005,697,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Current prices (NOK million),2020,1478,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Current prices (NOK million),2021,1613,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Change from previous year (per cent),2020,7.9,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Change from previous year (per cent),2021,9.1,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,5,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,105,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,111,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,46.9,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,5.6,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Current prices (NOK million),2020,183,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Current prices (NOK million),2021,213,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,7.4,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,16.5,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,1067,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,2360,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,2688,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
