health region,type of service,contents,year,value
Helse Stavanger HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Stavanger HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Stavanger HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Stavanger HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helse Stavanger HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Helse Stavanger HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Helse Stavanger HF,Drug treatment (TSB),Beds,2002,0
Helse Stavanger HF,Drug treatment (TSB),Beds,2020,32
Helse Stavanger HF,Drug treatment (TSB),Beds,2021,32
Helse Stavanger HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helse Stavanger HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Stavanger HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Stavanger HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helse Stavanger HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Helse Stavanger HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Helse Fonna HF,Total,Beds,2002,631
Helse Fonna HF,Total,Beds,2020,475
Helse Fonna HF,Total,Beds,2021,466
Helse Fonna HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Fonna HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Fonna HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Fonna HF,Total,Day cases per 1 000 inhabitants,2002,NA
Helse Fonna HF,Total,Day cases per 1 000 inhabitants,2020,NA
Helse Fonna HF,Total,Day cases per 1 000 inhabitants,2021,NA
Helse Fonna HF,Somatic health care,Beds,2002,363
Helse Fonna HF,Somatic health care,Beds,2020,340
Helse Fonna HF,Somatic health care,Beds,2021,328
Helse Fonna HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Fonna HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Fonna HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Fonna HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helse Fonna HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Helse Fonna HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Helse Fonna HF,Drug treatment (TSB),Beds,2002,0
Helse Fonna HF,Drug treatment (TSB),Beds,2020,14
Helse Fonna HF,Drug treatment (TSB),Beds,2021,16
Helse Fonna HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helse Fonna HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Fonna HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Fonna HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helse Fonna HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Helse Fonna HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
St Olavs Hospital HF,Total,Beds,2002,918
St Olavs Hospital HF,Total,Beds,2020,973
St Olavs Hospital HF,Total,Beds,2021,938
St Olavs Hospital HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
St Olavs Hospital HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
St Olavs Hospital HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
St Olavs Hospital HF,Total,Day cases per 1 000 inhabitants,2002,NA
St Olavs Hospital HF,Total,Day cases per 1 000 inhabitants,2020,NA
St Olavs Hospital HF,Total,Day cases per 1 000 inhabitants,2021,NA
St Olavs Hospital HF,Somatic health care,Beds,2002,918
St Olavs Hospital HF,Somatic health care,Beds,2020,732
St Olavs Hospital HF,Somatic health care,Beds,2021,699
St Olavs Hospital HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
St Olavs Hospital HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
St Olavs Hospital HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
St Olavs Hospital HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
St Olavs Hospital HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
St Olavs Hospital HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
St Olavs Hospital HF,Drug treatment (TSB),Beds,2002,0
St Olavs Hospital HF,Drug treatment (TSB),Beds,2020,34
St Olavs Hospital HF,Drug treatment (TSB),Beds,2021,34
St Olavs Hospital HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
St Olavs Hospital HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
St Olavs Hospital HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
St Olavs Hospital HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
St Olavs Hospital HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
St Olavs Hospital HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Helse Sunnmøre HF  (2002-2010),Total,Beds,2002,540
Helse Sunnmøre HF  (2002-2010),Total,Beds,2020,0
Helse Sunnmøre HF  (2002-2010),Total,Beds,2021,0
Helse Sunnmøre HF  (2002-2010),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Sunnmøre HF  (2002-2010),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Helse Sunnmøre HF  (2002-2010),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Helse Sunnmøre HF  (2002-2010),Total,Day cases per 1 000 inhabitants,2002,NA
Helse Sunnmøre HF  (2002-2010),Total,Day cases per 1 000 inhabitants,2020,0
Helse Sunnmøre HF  (2002-2010),Total,Day cases per 1 000 inhabitants,2021,0
Helse Sunnmøre HF  (2002-2010),Somatic health care,Beds,2002,430
Helse Sunnmøre HF  (2002-2010),Somatic health care,Beds,2020,0
Helse Sunnmøre HF  (2002-2010),Somatic health care,Beds,2021,0
Helse Sunnmøre HF  (2002-2010),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Sunnmøre HF  (2002-2010),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Helse Sunnmøre HF  (2002-2010),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Helse Sunnmøre HF  (2002-2010),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helse Sunnmøre HF  (2002-2010),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Helse Sunnmøre HF  (2002-2010),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Beds,2002,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Beds,2020,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Beds,2021,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Helse Sunnmøre HF  (2002-2010),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Oslo Universitetssykehus HF (2009-),Total,Beds,2002,0
Oslo Universitetssykehus HF (2009-),Total,Beds,2020,1930
Oslo Universitetssykehus HF (2009-),Total,Beds,2021,1951
Oslo Universitetssykehus HF (2009-),Total,Out-patient consultations per 1 000 inhabitants,2002,0
Oslo Universitetssykehus HF (2009-),Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Oslo Universitetssykehus HF (2009-),Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Oslo Universitetssykehus HF (2009-),Total,Day cases per 1 000 inhabitants,2002,0
Oslo Universitetssykehus HF (2009-),Total,Day cases per 1 000 inhabitants,2020,NA
Oslo Universitetssykehus HF (2009-),Total,Day cases per 1 000 inhabitants,2021,NA
Oslo Universitetssykehus HF (2009-),Somatic health care,Beds,2002,0
Oslo Universitetssykehus HF (2009-),Somatic health care,Beds,2020,1575
Oslo Universitetssykehus HF (2009-),Somatic health care,Beds,2021,1588
Oslo Universitetssykehus HF (2009-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Oslo Universitetssykehus HF (2009-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Oslo Universitetssykehus HF (2009-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Oslo Universitetssykehus HF (2009-),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Oslo Universitetssykehus HF (2009-),Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Oslo Universitetssykehus HF (2009-),Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Beds,2002,0
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Beds,2020,86
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Beds,2021,86
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Oslo Universitetssykehus HF (2009-),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Beds,2002,453
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Beds,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Beds,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Day cases per 1 000 inhabitants,2002,NA
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Day cases per 1 000 inhabitants,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Total,Day cases per 1 000 inhabitants,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Beds,2002,289
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Beds,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Beds,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Beds,2002,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Beds,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Beds,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Helse Nordmøre og Romsdal HF  (2002-2010),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Vestre Viken HF (2009-),Total,Beds,2002,0
Vestre Viken HF (2009-),Total,Beds,2020,978
Vestre Viken HF (2009-),Total,Beds,2021,995
Vestre Viken HF (2009-),Total,Out-patient consultations per 1 000 inhabitants,2002,0
Vestre Viken HF (2009-),Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Vestre Viken HF (2009-),Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Vestre Viken HF (2009-),Total,Day cases per 1 000 inhabitants,2002,0
Vestre Viken HF (2009-),Total,Day cases per 1 000 inhabitants,2020,NA
Vestre Viken HF (2009-),Total,Day cases per 1 000 inhabitants,2021,NA
Vestre Viken HF (2009-),Somatic health care,Beds,2002,0
Vestre Viken HF (2009-),Somatic health care,Beds,2020,714
Vestre Viken HF (2009-),Somatic health care,Beds,2021,717
Vestre Viken HF (2009-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Vestre Viken HF (2009-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Vestre Viken HF (2009-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Vestre Viken HF (2009-),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Vestre Viken HF (2009-),Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Vestre Viken HF (2009-),Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Vestre Viken HF (2009-),Drug treatment (TSB),Beds,2002,0
Vestre Viken HF (2009-),Drug treatment (TSB),Beds,2020,49
Vestre Viken HF (2009-),Drug treatment (TSB),Beds,2021,49
Vestre Viken HF (2009-),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Vestre Viken HF (2009-),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Vestre Viken HF (2009-),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Vestre Viken HF (2009-),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Vestre Viken HF (2009-),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Vestre Viken HF (2009-),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Helse Nord Trøndelag HF,Total,Beds,2002,472
Helse Nord Trøndelag HF,Total,Beds,2020,369
Helse Nord Trøndelag HF,Total,Beds,2021,368
Helse Nord Trøndelag HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Nord Trøndelag HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Nord Trøndelag HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Nord Trøndelag HF,Total,Day cases per 1 000 inhabitants,2002,NA
Helse Nord Trøndelag HF,Total,Day cases per 1 000 inhabitants,2020,NA
Helse Nord Trøndelag HF,Total,Day cases per 1 000 inhabitants,2021,NA
Helse Nord Trøndelag HF,Somatic health care,Beds,2002,339
Helse Nord Trøndelag HF,Somatic health care,Beds,2020,261
Helse Nord Trøndelag HF,Somatic health care,Beds,2021,260
Helse Nord Trøndelag HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helse Nord Trøndelag HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Nord Trøndelag HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Nord Trøndelag HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helse Nord Trøndelag HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Helse Nord Trøndelag HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Helse Nord Trøndelag HF,Drug treatment (TSB),Beds,2002,0
Helse Nord Trøndelag HF,Drug treatment (TSB),Beds,2020,16
Helse Nord Trøndelag HF,Drug treatment (TSB),Beds,2021,16
Helse Nord Trøndelag HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helse Nord Trøndelag HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Helse Nord Trøndelag HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Helse Nord Trøndelag HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helse Nord Trøndelag HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Helse Nord Trøndelag HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Rusbehandling Midt-Norge HF (2004-2013),Total,Beds,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Beds,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Beds,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Out-patient consultations per 1 000 inhabitants,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Day cases per 1 000 inhabitants,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Day cases per 1 000 inhabitants,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Total,Day cases per 1 000 inhabitants,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Beds,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Beds,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Beds,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Beds,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Beds,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Beds,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Rusbehandling Midt-Norge HF (2004-2013),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Nordlandssykehuset HF,Total,Beds,2002,539
Nordlandssykehuset HF,Total,Beds,2020,447
Nordlandssykehuset HF,Total,Beds,2021,435
Nordlandssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Nordlandssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Nordlandssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Nordlandssykehuset HF,Total,Day cases per 1 000 inhabitants,2002,NA
Nordlandssykehuset HF,Total,Day cases per 1 000 inhabitants,2020,NA
Nordlandssykehuset HF,Total,Day cases per 1 000 inhabitants,2021,NA
Nordlandssykehuset HF,Somatic health care,Beds,2002,379
Nordlandssykehuset HF,Somatic health care,Beds,2020,307
Nordlandssykehuset HF,Somatic health care,Beds,2021,295
Nordlandssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Nordlandssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Nordlandssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Nordlandssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Nordlandssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Nordlandssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Nordlandssykehuset HF,Drug treatment (TSB),Beds,2002,0
Nordlandssykehuset HF,Drug treatment (TSB),Beds,2020,16
Nordlandssykehuset HF,Drug treatment (TSB),Beds,2021,8
Nordlandssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Nordlandssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Nordlandssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Nordlandssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Nordlandssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Nordlandssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Helgelandssykehuset HF,Total,Beds,2002,243
Helgelandssykehuset HF,Total,Beds,2020,201
Helgelandssykehuset HF,Total,Beds,2021,196
Helgelandssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Helgelandssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Helgelandssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Helgelandssykehuset HF,Total,Day cases per 1 000 inhabitants,2002,NA
Helgelandssykehuset HF,Total,Day cases per 1 000 inhabitants,2020,NA
Helgelandssykehuset HF,Total,Day cases per 1 000 inhabitants,2021,NA
Helgelandssykehuset HF,Somatic health care,Beds,2002,217
Helgelandssykehuset HF,Somatic health care,Beds,2020,163
Helgelandssykehuset HF,Somatic health care,Beds,2021,158
Helgelandssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Helgelandssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Helgelandssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Helgelandssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Helgelandssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Helgelandssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Helgelandssykehuset HF,Drug treatment (TSB),Beds,2002,0
