health region,type of expenditure,activity,contents,year,value
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
Totalt,Other expenditures,Sum all functions,Current prices (NOK million),2005,907
Totalt,Other expenditures,Sum all functions,Current prices (NOK million),2020,1729
Totalt,Other expenditures,Sum all functions,Current prices (NOK million),2021,2018
Totalt,Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA
Totalt,Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA
Totalt,Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA
Totalt,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Totalt,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,265
Totalt,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,446
Totalt,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,504
Totalt,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA
Totalt,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA
Totalt,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA
Totalt,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
Totalt,Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA
Totalt,Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA
Totalt,Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA
Totalt,Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA
Totalt,Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA
Totalt,Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA
Totalt,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
Totalt,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
Totalt,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,1211
General hospitals,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,1669
General hospitals,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,1700
General hospitals,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Other expenditures,Sum all functions,Current prices (NOK million),2005,308
General hospitals,Other expenditures,Sum all functions,Current prices (NOK million),2020,478
General hospitals,Other expenditures,Sum all functions,Current prices (NOK million),2021,576
General hospitals,Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA
General hospitals,Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA
General hospitals,Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA
General hospitals,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,NA
General hospitals,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,NA
General hospitals,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,NA
General hospitals,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA
General hospitals,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA
General hospitals,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA
General hospitals,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
General hospitals,Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA
General hospitals,Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA
General hospitals,Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA
General hospitals,Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA
General hospitals,Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA
General hospitals,Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA
General hospitals,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
General hospitals,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
General hospitals,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,5434
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,12542
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,13782
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,2.9
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,9.9
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,16
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,561
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,593
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,43.6
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,5.6
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,1533
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,1751
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,3.3
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,14.2
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,24
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,27
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,36
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,4.6
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,31.7
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,0
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,-1
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,-1
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,-13.9
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,111.1
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,20
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,19
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,-3.1
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,-5.8
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Other expenditures,Sum all functions,Current prices (NOK million),2005,697
Helse Bergen HF,Other expenditures,Sum all functions,Current prices (NOK million),2020,1478
Helse Bergen HF,Other expenditures,Sum all functions,Current prices (NOK million),2021,1613
Helse Bergen HF,Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA
Helse Bergen HF,Other expenditures,Sum all functions,Change from previous year (per cent),2020,7.9
Helse Bergen HF,Other expenditures,Sum all functions,Change from previous year (per cent),2021,9.1
Helse Bergen HF,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,5
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,105
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,111
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,46.9
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,5.6
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Current prices (NOK million),2020,183
Helse Bergen HF,Other expenditures,Lab/roentgen,Current prices (NOK million),2021,213
Helse Bergen HF,Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,7.4
Helse Bergen HF,Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,16.5
Helse Bergen HF,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
Helse Bergen HF,Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,1067
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,2360
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,2688
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA
Institutions for (re)habilitation,Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA
Institutions for (re)habilitation,Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA
